species,date,confidence,alert_count,area_ha
pongo_pygmaeus,2025-10-20,highest,4877,60.0161
pongo_pygmaeus,2025-10-20,nominal,163,2.0061
pongo_pygmaeus,2025-10-22,nominal,9,0.1106
pongo_pygmaeus,2025-10-22,highest,157,1.9298
pongo_pygmaeus,2025-10-22,high,889,10.9253
pongo_pygmaeus,2025-10-25,high,34278,421.8235
pongo_pygmaeus,2025-10-25,highest,3375,41.529
pongo_pygmaeus,2025-10-25,nominal,203,2.4981
pongo_pygmaeus,2025-10-26,high,148,1.8166
pongo_pygmaeus,2025-10-26,highest,100,1.2263
pongo_pygmaeus,2025-10-27,high,21747,267.0991
pongo_pygmaeus,2025-10-27,highest,3701,45.4723
pongo_pygmaeus,2025-10-27,nominal,139,1.7074
pongo_pygmaeus,2025-10-30,highest,426,5.2417
pongo_pygmaeus,2025-10-30,nominal,8,0.0985
pongo_pygmaeus,2025-10-30,high,1475,18.1526
pongo_pygmaeus,2025-10-31,high,3492,42.9689
pongo_pygmaeus,2025-10-31,highest,2128,26.1861
pongo_pygmaeus,2025-11-01,high,44879,552.3173
pongo_pygmaeus,2025-11-01,highest,8159,100.4023
pongo_pygmaeus,2025-11-01,nominal,276,3.3968
pongo_pygmaeus,2025-11-02,high,8354,102.7866
pongo_pygmaeus,2025-11-02,highest,6755,83.1148
pongo_pygmaeus,2025-11-03,highest,427,5.2519
pongo_pygmaeus,2025-11-03,high,2801,34.4244
pongo_pygmaeus,2025-11-03,nominal,4,0.0492
pongo_pygmaeus,2025-11-04,highest,319,3.9135
pongo_pygmaeus,2025-11-04,high,21438,262.7609
pongo_pygmaeus,2025-11-05,high,168,2.0581
pongo_pygmaeus,2025-11-06,high,36195,445.409
pongo_pygmaeus,2025-11-06,highest,3016,37.111
pongo_pygmaeus,2025-11-06,nominal,222,2.7319
pongo_pygmaeus,2025-11-08,high,21932,269.6059
pongo_pygmaeus,2025-11-08,highest,4766,58.6165
pongo_pygmaeus,2025-11-08,nominal,177,2.1751
pongo_pygmaeus,2025-11-09,highest,10804,132.9227
pongo_pygmaeus,2025-11-09,high,33804,415.9389
pongo_pygmaeus,2025-11-11,highest,198,2.4364
pongo_pygmaeus,2025-11-11,nominal,6,0.0738
pongo_pygmaeus,2025-11-11,high,999,12.2947
pongo_pygmaeus,2025-11-12,high,14150,173.8417
pongo_pygmaeus,2025-11-12,highest,4492,55.2592
pongo_pygmaeus,2025-11-13,high,55767,686.2995
pongo_pygmaeus,2025-11-13,highest,8231,101.2897
pongo_pygmaeus,2025-11-13,nominal,348,4.2828
pongo_pygmaeus,2025-11-15,high,1051,12.9243
pongo_pygmaeus,2025-11-15,highest,180,2.2116
pongo_pygmaeus,2025-11-15,nominal,12,0.1473
pongo_pygmaeus,2025-11-18,high,358,4.4052
pongo_pygmaeus,2025-11-18,highest,206,2.5346
pongo_pygmaeus,2025-11-19,highest,54,0.6644
pongo_pygmaeus,2025-11-19,high,169,2.0794
pongo_pygmaeus,2025-11-20,high,20390,250.6043
pongo_pygmaeus,2025-11-20,highest,4683,57.5867
pongo_pygmaeus,2025-11-20,nominal,209,2.569
pongo_pygmaeus,2025-11-23,high,1096,13.4882
pongo_pygmaeus,2025-11-23,highest,364,4.479
pongo_pygmaeus,2025-11-23,nominal,7,0.0862
pongo_pygmaeus,2025-11-24,high,16,0.1969
pongo_pygmaeus,2025-11-24,highest,835,10.2757
pongo_pygmaeus,2025-11-25,nominal,393,4.8367
pongo_pygmaeus,2025-11-25,highest,11266,138.6349
pongo_pygmaeus,2025-11-25,high,62946,774.6362
pongo_pygmaeus,2025-11-26,high,294,3.6162
pongo_pygmaeus,2025-11-26,highest,108,1.3282
pongo_pygmaeus,2025-11-27,high,2159,26.5238
pongo_pygmaeus,2025-11-27,highest,302,3.7112
pongo_pygmaeus,2025-11-27,nominal,13,0.1599
pongo_pygmaeus,2025-11-28,high,178,2.1803
pongo_pygmaeus,2025-11-29,high,110,1.3497
pongo_pygmaeus,2025-11-29,highest,74,0.9107
pongo_pygmaeus,2025-11-30,nominal,360,4.4302
pongo_pygmaeus,2025-11-30,highest,4722,58.1046
pongo_pygmaeus,2025-11-30,high,57491,707.4792
pongo_pygmaeus,2025-12-02,high,20331,249.9088
pongo_pygmaeus,2025-12-02,highest,5307,65.2724
pongo_pygmaeus,2025-12-02,nominal,181,2.225
pongo_pygmaeus,2025-12-03,high,372,4.5769
pongo_pygmaeus,2025-12-03,highest,58,0.7136
pongo_pygmaeus,2025-12-04,high,356,4.3809
pongo_pygmaeus,2025-12-04,highest,275,3.3842
pongo_pygmaeus,2025-12-05,highest,260,3.1992
pongo_pygmaeus,2025-12-05,nominal,5,0.0615
pongo_pygmaeus,2025-12-05,high,846,10.4096
pongo_pygmaeus,2025-12-07,nominal,345,4.2459
pongo_pygmaeus,2025-12-07,high,53491,658.2775
pongo_pygmaeus,2025-12-07,highest,10116,124.4794
pongo_pygmaeus,2025-12-09,high,1330,16.3528
pongo_pygmaeus,2025-12-09,highest,167,2.0522
pongo_pygmaeus,2025-12-09,nominal,11,0.1351
pongo_pygmaeus,2025-12-11,high,5312,65.352
pongo_pygmaeus,2025-12-11,highest,6484,79.772
pongo_pygmaeus,2025-12-12,high,50026,615.601
pongo_pygmaeus,2025-12-12,highest,3848,47.3477
pongo_pygmaeus,2025-12-12,nominal,319,3.9255
pongo_pygmaeus,2025-12-14,nominal,230,2.8272
pongo_pygmaeus,2025-12-14,highest,4103,50.4211
pongo_pygmaeus,2025-12-14,high,24388,299.7758
pongo_pygmaeus,2025-12-15,high,1562,19.1479
pongo_pygmaeus,2025-12-17,high,1195,14.7065
pongo_pygmaeus,2025-12-17,highest,765,9.414
pongo_pygmaeus,2025-12-17,nominal,18,0.2215
pongo_pygmaeus,2025-12-18,high,782,9.6238
pongo_pygmaeus,2025-12-18,highest,1075,13.2279
pongo_pygmaeus,2025-12-19,high,48274,594.0607
pongo_pygmaeus,2025-12-19,highest,10243,126.0386
pongo_pygmaeus,2025-12-19,nominal,270,3.3226
pongo_pygmaeus,2025-12-20,highest,577,7.1011
pongo_pygmaeus,2025-12-20,high,1621,19.945
pongo_pygmaeus,2025-12-21,high,1656,20.3638
pongo_pygmaeus,2025-12-21,highest,311,3.8252
pongo_pygmaeus,2025-12-21,nominal,7,0.0861
pongo_pygmaeus,2025-12-22,high,9019,110.5663
pongo_pygmaeus,2025-12-22,highest,13,0.1595
pongo_pygmaeus,2025-12-23,high,990,12.185
pongo_pygmaeus,2025-12-24,high,54514,670.8229
pongo_pygmaeus,2025-12-24,highest,4922,60.5621
pongo_pygmaeus,2025-12-24,nominal,363,4.4669
pongo_pygmaeus,2025-12-26,nominal,204,2.5073
pongo_pygmaeus,2025-12-26,high,20261,249.0442
pongo_pygmaeus,2025-12-26,highest,12416,152.7315
pongo_pygmaeus,2025-12-27,high,1743,21.4464
pongo_pygmaeus,2025-12-27,highest,2207,27.1546
pongo_pygmaeus,2025-12-29,high,1911,23.5184
pongo_pygmaeus,2025-12-29,highest,529,6.5095
pongo_pygmaeus,2025-12-29,nominal,17,0.2092
pongo_pygmaeus,2025-12-30,highest,509,6.2525
pongo_pygmaeus,2025-12-30,high,5480,67.2546
