species,date,confidence,alert_count,area_ha
pongo_tapanuliensis,2026-06-28,nominal,311,3.8264
pongo_tapanuliensis,2026-07-04,high,2839,34.9296
pongo_tapanuliensis,2026-07-04,highest,142,1.7471
pongo_tapanuliensis,2026-07-04,nominal,9897,121.7676
pongo_tapanuliensis,2026-07-05,high,12348,151.9234
pongo_tapanuliensis,2026-07-05,highest,565,6.9515
pongo_tapanuliensis,2026-07-05,nominal,23991,295.1729
pongo_tapanuliensis,2026-07-07,nominal,1479,18.1969
pongo_tapanuliensis,2026-07-07,highest,42,0.5168
pongo_tapanuliensis,2026-07-07,high,124,1.5256
pongo_tapanuliensis,2026-07-10,high,189,2.3254
pongo_tapanuliensis,2026-07-10,highest,2,0.0246
pongo_tapanuliensis,2026-07-10,nominal,558,6.8653
pongo_tapanuliensis,2026-07-16,high,329,4.0479
pongo_tapanuliensis,2026-07-16,highest,28,0.3445
pongo_tapanuliensis,2026-07-16,nominal,4200,51.6746
pongo_tapanuliensis,2026-07-17,high,19,0.2338
pongo_tapanuliensis,2026-07-17,highest,10,0.123
pongo_tapanuliensis,2026-07-17,nominal,2629,32.3459
pongo_tapanuliensis,2026-07-22,highest,1,0.0123
pongo_tapanuliensis,2026-07-22,nominal,123,1.5133
pongo_tapanuliensis,2026-07-22,high,2,0.0246
pongo_tapanuliensis,2026-07-23,nominal,2046,25.1729
